Series Name,"Population, total",Population growth (annual %),"Life expectancy at birth, total (years)",GDP (current US$),GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Military expenditure (% of GDP),Merchandise trade (% of GDP),"Foreign direct investment, net inflows (BoP, current US$)"
1990,873277798,2.076088739,57.865,3.21E+11,5.533454563,10.66830385,26.89643825,27.4536955,7.053350234,8.452911276,3.14621461,12.94445948,236690000
1991,891273209,2.039729635,58.353,2.70E+11,1.056831433,13.75181894,27.33321814,26.44172018,8.494240771,8.493485781,2.909974328,14.13337468,73537638.39
1992,909307016,2.003177618,58.851,2.88E+11,5.482396022,8.96515236,26.66977197,26.79274327,8.842926925,9.590172117,2.704839706,14.9915809,276512439
1993,927403860,1.97063456,59.349,2.79E+11,4.75077622,9.861782853,26.88180084,26.78155428,9.834217455,9.817322332,2.823542246,15.88278971,550370024.9
1994,945601831,1.943244886,59.84,3.27E+11,6.658924067,9.980044775,26.38861888,27.62820125,9.888084916,10.19005946,2.664673727,15.84750058,973271468.7
1995,963922588,1.918940549,60.32,3.60E+11,7.57449184,9.06270222,24.45685527,28.59980942,10.84396803,12.02348067,2.578483572,18.13496333,2143628110
1996,982365243,1.89521886,60.783,3.93E+11,7.549522249,7.575018288,25.41703075,27.91227037,10.38516927,11.5443186,2.472768225,18.08285382,2426057022
1997,1000900030,1.869172711,61.233,4.16E+11,4.049820849,6.476271263,24.34535709,27.83703076,10.69071732,11.92866955,2.647732426,18.38084326,3577330042
1998,1019483581,1.839658073,61.669,4.21E+11,6.184415821,8.010167523,24.37882105,27.30303785,11.01846918,12.6810009,2.727311417,18.13616519,2634651658
1999,1038058156,1.80556042,62.093,4.59E+11,8.845755561,3.068395521,22.98896098,26.51929335,11.45206461,13.36353343,2.957195647,18.01271192,2168591054
2000,1056575549,1.768125412,62.505,4.68E+11,3.840991157,3.644970161,21.60895747,27.32582838,12.99723631,13.9036866,2.948929906,20.04761207,3584217307
2001,1075000085,1.728767638,62.907,4.85E+11,4.823966264,3.215616017,21.62050461,26.48777734,12.55837963,13.43487512,2.924435546,19.31295403,5128093562
2002,1093317189,1.689562681,63.304,5.15E+11,3.803975321,3.715683777,19.5366997,27.66065416,14.26438392,15.24427901,2.82686683,20.53975634,5208967106
2003,1111523144,1.651490906,63.699,6.08E+11,7.860381476,3.867798086,19.58060679,27.47410712,14.94791386,15.64452227,2.677776932,21.6424477,3681984671
2004,1129623456,1.61530759,64.095,7.09E+11,7.922936613,5.725413227,17.81469065,29.21910631,17.85912496,19.6446891,2.828752248,24.87828661,5429250990
2005,1147609927,1.57971029,64.5,8.20E+11,7.923430621,5.621903263,17.62020695,29.53376419,19.60524669,22.39642292,2.754907666,29.55770843,7269407226
2006,1165486291,1.545696178,64.918,9.40E+11,8.060732573,8.400938217,16.80944209,30.92723994,21.26794142,24.45653908,2.52680863,31.92925739,20029119267
2007,1183209472,1.50922207,65.35,1.22E+12,7.660815065,6.944418254,16.75011976,30.90323825,20.79969975,24.88656893,2.342633883,31.19240116,25227740887
2008,1200669765,1.46489008,65.794,1.20E+12,3.08669806,9.193969626,16.79094236,31.13671924,24.09735726,29.27086318,2.550194847,43.02793402,43406277076
2009,1217726215,1.4105823,66.244,1.34E+12,7.861888833,7.040365435,16.74427016,31.12137211,20.40051937,25.87235027,2.89349597,31.45653285,35581372930
2010,1234281170,1.350339045,66.693,1.68E+12,8.497584702,10.52603086,17.02650901,30.72507823,22.40093325,26.85427325,2.707464042,34.41028425,27396885034
2011,1250288729,1.28857558,67.13,1.82E+12,5.241344743,8.7335779,17.19197043,30.16167771,24.54040489,31.08346055,2.651496681,42.09247302,36498654598
2012,1265782790,1.231622928,67.545,1.83E+12,5.456358951,7.934388476,16.84537707,29.3985277,24.53443066,31.25929107,2.537346604,43.03489316,23995685014
2013,1280846129,1.18301607,67.931,1.86E+12,6.386106401,6.186504001,17.14842354,28.40489956,25.4308613,28.41327065,2.472726714,42.02271255,28153031270
2014,1295604184,1.145623988,68.286,2.04E+12,7.410227605,3.331756917,16.79193451,27.6564012,22.96796301,25.95422274,2.496769881,38.52647864,34576643694
2015,1310152403,1.116633091,68.607,2.10E+12,7.996253444,2.279588589,16.17450839,27.34739144,19.81318913,22.10972468,2.40512747,31.47394155,44009492130
2016,1324509589,1.08988008,68.897,2.29E+12,8.256305844,3.237974366,16.36380044,26.61899997,19.15823493,20.92425082,2.506470751,27.28741292,44458571546
2017,1338658835,1.062597394,69.165,2.65E+12,7.043820855,3.77809911,16.3578103,26.47880966,18.78268517,21.94012611,2.509624558,28.2410584,39966091359
2018,1352617328,1.03732336,69.416,2.71E+12,6.119586841,4.555544363,15.40672606,26.12787514,19.85265143,23.55231807,2.38257161,30.9322132,42117450737
2019,1366417754,1.015106028,69.121,2.88E+12,5.023873428,2.310899451,15.96459824,24.88100771,18.6619686,21.35656851,2.395246379,28.18326578,50610647354
2020,1396387127,0.96,69.73,1396387127,-7.25,6.62,24.93,26.2,18.71,19.1,2.1,10.9,64362360000
